
油 (abura)	 oil
定期 (teiki)	 fixed period, fixed term

抵抗 (teikou)	 resistance, opposition

停留所 (teiryuujou)	 bus stop, tram stop

停車 (teisha)	 stopping (of a train, car, etc.)

定食 (teishoku)	 set meal

提出 (teishutsu)	 to present, to submit

手品 (tejina)	 sleight of hand, magic

敵 (teki)	 opponent, rival

適する (teki suru)	 to fit, to suit

適度 (tekido)	 moderate

適切 (tekisetsu)	 adequate, appropriate

適用 (tekiyou)	 applying, adoption

手間 (tema)	 time, labor

典型 (tenkei)	 pattern, model

天候 (tenkou)	 weather

店内 (tennai)	 store interior​

天然 (tennen)	 nature, spontaneity

徹底 (tettei)	 thoroughness, completeness

鉄 (tetsu)	 iron

手伝い (tetsudai)	 assistant, help

鉄道 (tetsudou)	 railroad, railway

哲学 (tetsugaku)	 philosophy

徹夜 (tetsuya)	 all night

飛ばす (tobasu)	 to fly, to skip over

土地 (tochi)	 plot of land, soil

届く (todoku)	 to reach, to be delivered

徒歩 (toho)	 walking, going on foot​

問い (toi)	 question, query

閉じる (tojiru)	 to close (book, eyes)

都会 (tokai)	 city

解ける (tokeru)	 to be solved, to loosen

時 (toki)	 time, hour, moment, occasion

解く (toku)	 to untie, to solve

特徴 (tokuchou)	 feature, trait

得意 (tokui)	 one’s strong point, frequent customer

留める (tomaru)	 to stop, to turn off

友 (tomo)	 friend, companion

兎に角 (tonikaku)	 anyhow, at any rate

とんでも無い (tondemonai)	 unthinkable

通り (toori)	 avenue, street

通り過ぎる (toorisugiru)	 to pass through

通す (toosu)	 to force through, to let pass

虎 (tora)	 tiger

取れる (toreru)	 to come off, to be removed

取上げる (toriageru)	 to take up, to pick up

都市 (toshi)	 town, city

年月 (toshitsuki)	 months and years

年寄 (toshiyori)	 old people, the aged

図書 (tosho)	 books

突然 (totsuzen)	 abrupt, sudden

党 (tou)	 party (political)

塔 (tou)	 tower, pagoda

答案 (touan)	 examination paper

到着 (touchaku)	 arrival

投票 (touhyou)	 voting, poll

当日 (toujitsu)	 appointed day, very day​

当然 (touzen)	 natural

登山 (tozan)	 mountain climbing

翼 (tsubasa)	 wing

土 (tsuchi)	 earth, soil, dirt

次々 (tsugitsugi)	 in succession, one by one

遂に (tsui ni)	 finally, at last

捕まる (tsukamaru)	 to be caught

掴む (tsukamu)	 to seize, to catch

疲れ (tsukare)	 tiredness, fatigue

付合い (tsukiai)	 association, socializing

付き合う (tsukiau)	 to associate with, to go out with

就く (tsuku)	 to take (seat, position)

詰める (tsumeru)	 to stuff into, to jam

罪 (tsumi)	 crime, sin, wrongdoing

積もる (tsumoru)	 to pile up, to accumulate

繋ぐ (tsunagu)	 to connect, to link together

常に (tsune ni)	 always, constantly

角 (tsuno)	 horn

辛い (tsurai)	 painful, bitter

連れ (tsure)	 companion, company

釣 (tsuri)	 fishing, angling

伝わる (tsutawaru)	 to be transmitted

勤め (tsutome)	 service, duty, business

包み (tsutsumi)	 bundle, package, parcel

通知 (tsuuchi)	 notice, notification

通学 (tsuugaku)	 commuting to school

通じる (tsuujiru)	 to lead to, to be understood

通過 (tsuuka)	 passage through

通勤 (tsuukin)	 commuting to work​

通行 (tsuukou)	 passage, passing

通信 (tsuushin)	 correspondence, communication

通訳 (tsuuyaku)	 interpretation

梅雨 (tsuyu)	 rainy season

続き (tsuzuki)	 sequel, continuation

奪う (ubau)	 to snatch away

宇宙 (uchuu)	 universe, cosmos

動かす (ugokasu)	 to move, to shift

伺う (ukagau)	 to ask, to inquire

受け取る (uketoru)	 to receive, to get

うっかり	 carelessly, thoughtlessly

浮く (uku)	 to float​

馬 (uma)	 horse

生まれ (umare)	 birth, birthplace

梅 (ume)	 plum, plum tree

埋める (umeru)	 to bury, to fill up

生む	 to give birth, to produce

運 (un)	 fortune, luck

唸る (unaru)	 to groan, to moan

運動会 (undoukai)	 athletic meet, sports day​

裏側 (uragawa)	 the reverse, other side

羨ましい (urayamashii)	 envious, jealous

裏切る (uragiru)	 to betray

売れる (ureru)	 to sell well

売り切れる (urikireru)	 to be sold out​

兎 (usagi)	 rabbit, hare

牛 (ushi)	 cattle, cow

失う (ushinau)	 to lose

疑う (utagau)	 to doubt, to distrust

撃つ (utsu)	 to shoot, to attack

移す (utsusu)	 to transfer, to move

訴える (uttaeru)	 to appeal, to sue

噂 (uwasa)	 rumor, gossip

輪 (wa)	 ring, circle, loop

話題 (wadai)	 topic, subject

我が家 (wagaya)	 one’s house, one’s home

若者 (wakamono)	 young people

別れ (wakare)	 parting, separation

訳 (wake)	 reason, cause, meaning

分ける (wakeru)	 to divide

脇 (waki)	 beside, close to, nearby

湾 (wan)	 bay, gulf

笑い (warai)	 laugh, laughter

我々 (wareware)	 we

割 (wari)	 rate, ratio, proportion

割引 (waribiki)	 discount, reduction

割る (waru)	 to divide, to cut

悪口 (warukuchi)	 bad mouth, insult

僅か (wazuka)	 only, merely

破る (yaburu)	 to tear, to break

家賃 (yachin)	 rent

宿 (yado)	 inn, lodging

矢張り (yahari)	 as expected

夜間 (yakan)	 night, nighttime​

厄介 (yakkai)	 trouble, nuisance

役 (yaku)	 use, service, role

約 (yaku)	 approximately, about

役立つ (yakudatsu)	 to be useful, to be helpful

役割 (yakuwari)	 part, role, duties

野球 (yakyuu)	 baseball

山登り (yamanobori)	 mountain climbing

辞める (yameru)	 to retire, to resign

屋根 (yane)	 roof

やり直す (yarinaosu)	 to do over again, to redo

雇う (yatou)	 to employ, to hire

夜明け (yoake)	 dawn, daybreak

予防 (yobou)	 prevention, precaution

余分 (yobun)	 extra, excess

汚れ (yogore)	 dirt, filth, stain

予報 (yohou)	 forecast, prediction

予期 (yoki)	 expectation, forecast

横切る (yokogiru)	 to cross, to traverse

横 (yoko)	 horizontal, beside

翌朝 (yokuasa)	 next morning​

翌年 (yokutoshi)	 following year​

嫁 (yome)	 wife, bride

読み (yomi)	 reading

夜中 (yonaka)	 midnight, dead of night

世の中 (yo no naka)	 world, society

喜び (yorokobi)	 joy, delight

予算 (yosan)	 estimate, budget

予測 (yosoku)	 prediction, estimation

予想 (yosou)	 expectation, prediction

予想外 (yosougai)	 unexpected, unforeseen

止す (yosu)	 to cease, to desist

酔う (you)	 to get drunk

容易 (youi)	 easy, simple, plain

容器 (youki)	 container, vessel

用心 (youjin)	 care, precaution

陽気 (youki)	 weather, cheerful

要求 (youkyuu)	 demand, firm request

用紙 (youshi)	 blank form​

要素 (youso)	 element, factor, component

様子 (yousu)	 state, appearance

要点 (youten)	 gist, main point

ようやく	 finally, at last

余裕 (yoyuu)	 surplus, margin

唯一 (yuiitsu)	 only, sole, unique

ゆるい	 loose

床 (yuka)	 floor

愉快 (yukai)	 pleasant, happy

行き (yuki)	 bound for, going to

行き先 (yukisaki)	 destination, whereabouts

許す (yurusu)	 to permit, to allow

豊か (yutaka)	 abundant, wealthy

郵便 (yuubin)	 mail service

遊園地 (yuuenchi)	 amusement park

夕方 (yuugata)	 evening, dusk​

友人 (yuujin)	 friend

友情 (yuujou)	 friendship, fellowship

勇気 (yuuki)	 courage, bravery

有効 (yuukou)	 validity, effectiveness

友好 (yuukou)	 friendship

有能 (yuunou)	 capable, efficient

有利 (yuuri)	 advantageous, profitable

有料 (yuuryou)	 fee-charging, paid

優勝 (yuushou)	 championship, overall victory

優秀 (yuushuu)	 superiority, excellence

郵送 (yuusou)	 mailing, posting​

譲る (yuzuru)	 to hand over, to surrender

稍 (yaya)	 a little, partially

材料 (zairyou)	 ingredients, material

財産 (zaisan)	 property, fortune, assets

残業 (zangyou)	 overtime (work)​

座席 (zaseki)	 seat

ざっと (zatto)	 roughly, in rough number

是非 (zehi)	 certainly, without fail

税金 (zeikin)	 tax, duty

贅沢 (zeitaku)	 luxury, extravagance

善 (zen)	 good, goodness, virtue

前後 (zengo)	 before and after​, front and rear

全員 (zen’in)	 all members, everyone

前日 (zenjitsu)	 previous day, day before

全国 (zenkoku)	 countrywide, nationwide

前者 (zensha)	 the former

前進 (zenshin)	 advance, drive, progress

全身 (zenshin)	 whole (body), full-length

全体 (zentai)	 whole, entirety

絶対 (zettai)	 absolutely

絶滅 (zetsumetsu)	 destruction, exinction

象 (zou)	 elephant

増加 (zouka)	 increase

図 (zu)	 drawing, picture, diagram

随分 (zuibun)	 very, extremely

ずっと (zutto)	 continuously in some state

頭痛 (zutsuu)	 headache
